model,path,role,source_key,fmt_external,fmt_internal,quantize_bins,quantize_method,n_pages,speech_union_overlap_mean,char_covered_by_speech_mean
sarashina,data/sarashina/_sarashina_exclusive_work_plain_true_completion_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
sarashina,data/sarashina/_sarashina_exclusive_work_plain_true_cwh_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.012199418558769855,0.04230833300775953
sarashina,data/sarashina/_sarashina_exclusive_work_plain_true_cwh_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0004781653772620159,0.024979036410763406
swallow,data/swallow/_swallow_exclusive_work_frame_insert_true_2_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.00929736769072717,0.04745139506838064
swallow,data/swallow/_swallow_exclusive_work_frame_insert_true_2_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
swallow,data/swallow/_swallow_exclusive_work_no_scenario_true_2_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.013338680541432238,0.060197504078892364
swallow,data/swallow/_swallow_exclusive_work_no_scenario_true_2_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
swallow,data/swallow/_swallow_exclusive_work_no_scenario_true_completion_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.024770738633219637,0.07442499041204285
swallow,data/swallow/_swallow_exclusive_work_no_scenario_true_completion_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
swallow,data/swallow/_swallow_exclusive_work_no_scenario_true_cwh_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.012315079393024309,0.04092419412742833
swallow,data/swallow/_swallow_exclusive_work_no_scenario_true_cwh_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0004781653772620159,0.024979036410763406
swallow,data/swallow/_swallow_exclusive_work_plain_true_2_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.01486014138657609,0.050743735679061985
swallow,data/swallow/_swallow_exclusive_work_plain_true_2_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
swallow,data/swallow/_swallow_exclusive_work_plain_true_completion_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.025324933467731143,0.06837964695735291
swallow,data/swallow/_swallow_exclusive_work_plain_true_completion_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
swallow,data/swallow/_swallow_exclusive_work_plain_true_cwh_for_mIoU.pkl,pred,results,cwh,cxcywh,0,none,2125,0.013543403505134399,0.04151656465457379
swallow,data/swallow/_swallow_exclusive_work_plain_true_cwh_for_mIoU.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0004781653772620159,0.024979036410763406
t5,data/t5/_t5_exclusive_work_frame_insert_for_IoU_converted.pkl,pred,predict,cwh,cxcywh,0,none,2125,0.07546696189525813,0.13553877601316847
t5,data/t5/_t5_exclusive_work_frame_insert_for_IoU_converted.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
t5,data/t5/_t5_exclusive_work_no_scenario_for_IoU_converted.pkl,pred,predict,cwh,cxcywh,0,none,2125,0.02593889167605313,0.08650220751099463
t5,data/t5/_t5_exclusive_work_no_scenario_for_IoU_converted.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
t5,data/t5/_t5_exclusive_work_plain_for_IoU_conveerted.pkl,pred,predict,cwh,cxcywh,0,none,2125,0.031521390235255756,0.08321637033367241
t5,data/t5/_t5_exclusive_work_plain_for_IoU_conveerted.pkl,teach,teach,cwh,cxcywh,0,none,2125,0.0011871877662227802,0.03782995480949007
